Control,ash-2,prx-5,fat-2,fat-7,plin-1,hosl-1,atgl-1,spas-1,pmp-4,lpin-1,seip-1,acs-4,acs-22,fitm-2,dgat-2,acs-5,acs-13,acs-17,prx-19,Y7A5A.1,syx-5,alh-4,rab-7,prx-11,spg-20,ads-1,ctl-3,tomm-22,sod-1,fard-1,snx-13,mctp-1,faah-4,acdh-1,ech- 1,F46H5.3,dhs-9,dhs-4,dhs-19,tkt1,cgi-58,acdh-12,F13D12.9,dhs-28,spl-1,gpx-1,ftn-1 ,maoc-1,lpd-5,daf-22,T25G3.4,gpx-1(tm2100) mutant,hlh-2 RNAi,hlh-3 RNAi,nhr-64 RNAi,Y44A6D.3 RNAi,hlh-11 RNAi,nhr-49 RNAi,nhr-62 RNAi,nhr-79 RNAi,sbp-1 RNAi,C25H3.11-vps13d RNAi
0.52348993,1.298013,0.940397,,,,,,,,0.7192336,1.03490136,,0.900662,,,0.284768,1.152318,0.317881,1.74840085,1.66311301,0.34115139,,0.16346837,,,0.36490009,1.70286707,,,0.33883579,1.44222415,,,,,,,,,,,,,,,0.617352,,0.87090729,,,0.37482086,,,,,,,,,,,1.965669
1.07718121,0.94702,1.152318,,,,,,,,0.30655859,1.36418816,,1.019868,,,0.15894,0.609272,0.556291,0.88130775,1.42857143,0.19189765,,0.29140014,,,0.46915725,0.66898349,,,1.07732407,0.72111208,,,,,,,,,,,,,,,0.463014,,0.93705214,,,1.48825929,,,,,,,,,,,1.52993
0.53355705,1.344371,1.450331,,,,,,,,0.43625645,0.03763278,,0.887417,,,0.933775,1.264901,,0.68230277,1.18692253,,,0.37668799,,,0.75586447,0.85143354,,,0.58210252,0.49522155,,,,,,,,,,,,,,,0.63940029,,,,,0.50711057,,,,,,,,,,,
0.91610739,0.940397,1.152318,,,,,,,,0.68386146,0.4892261,,1.072848,,,0.192053,1.092715,,1.05188344,,,,0.38379531,,,0.18245004,0.74717637,,,1.31190269,0.61685491,,,,,,,,,,,,,,,,,,,,0.19843457,,,,,,,,,,,
0.65436242,2.059603,0.966887,,,,,,,,0.7192336,,,0.741722,,,,1.231788,,2.08244492,,,,0.09950249,,,0.20851434,1.03388358,,,0.77324066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66442953,0.788079,1.264901,,,,,,,,0.42446573,,,1.152318,,,,,,1.86211798,,,,0.25586354,,,0.41702867,0.40834057,,,0.36490009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.84563759,1.245033,1.033113,,,,,,,,,,,,,,,,,2.01137171,,,,0.32693674,,,,0.35621199,,,0.88618593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25838927,2.039735,1.311258,,,,,,,,,,,,,,,,,,,,,0.46908316,,,,,,,0.77324066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.79194631,1.331126,1.642384,,,,,,,,,,,,,,,,,,,,,0.34115139,,,,,,,1.03388358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1375839,1.695364,1.205298,,,,,,,,,,,,,,,,,,,,,0.36247335,,,,,,,1.5986099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.19659105,1.211921,1.675497,,,,,,,,,,,,,,,,,,,,,0.17057569,,,,,,,0.72980017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.76818191,1.827815,1.417219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5613637,1.940397,1.205298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35454549,1.576159,0.874172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.09318194,1.496689,2.119205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96022738,1.298013,0.953642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.86136385,1.74840085,1.97351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.57613643,2.21037669,1.019868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.51704551,1.71997157,1.927152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.62045462,1.6275764,1.377483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81704566,1.47121535,1.74129353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15227286,1.8336887,1.05188344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.49659119,1.69864961,2.3169865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48750006,1.16560057,1.20113717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14772729,1.22245913,1.64179104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41363641,1.29353234,1.3503909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.18636388,1.74129353,1.28642502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
