Control,ash-2,prx-5,fat-7,plin-1,hosl-1,fat-2,spas-1,atgl-1,pmp-4,lpin-1,seip-1,dhs-3,acs-4,acs-22,fitm-2,dgat-2,acs-5,acs-13,acs-17,prx-19,Y7A5A.1,syx-5,alh-4,rab-7,prx-11,spg-20,ads-1,ctl-3,tomm-22,sod-1,fard-1,snx-13,mctp-1,faah-4,acdh-1,ech- 1,F46H5.3,dhs-9,dhs-4,dhs-19,tkt1,cgi-58,acdh-12,F13D12.9,dhs-28,spl-1,gpx-1,ftn-1,maoc-1,lpd-5,daf-22,T25G3.4,gpx-1(tm2100) mutant,hlh-2 RNAi,hlh-3 RNAi,nhr-64 RNAi,Y44A6D.3 RNAi,hlh-11 RNAi,nhr-49 RNAi,nhr-62 RNAi,nhr-79 RNAi,sbp-1 RNAi,C25H3.11-vps13d RNAi
1.045035,2.297921,0.011547,0.409931,0.560046,1.316397,1.374134,1.258661,0.721709,1.616628,0.952656,0.750577,,,0.98581,,1.333084,0.597461,0.873786,0.739358,0.90608951,0.76302274,0.27879677,,1.21423331,,,0.53283767,0.78893019,,,0.46674928,1.26394052,,,,,,,,,,,,,,,0.49172577,,0.47754137,,,1.02600473,,,,,,,,,,,1.234294041
0.652425,3.533487,0.040416,,1.680139,1.512702,1.610855,1.732102,1.068129,1.408776,0.508083,1.310624,,,0.952203,,,0.612397,0.982076,0.758028,0.8217168,0.9757887,0.46588408,,1.3352898,,,0.61957869,0.95415118,,,0.67327551,1.18546055,,,,,,,,,,,,,,,0.643026,,0.61465721,,,1.11111111,,,,,,,,,,,0.886981865
0.67552,2.378753,0.190531,,0.196305,1.160508,1.876443,2.182448,0.831409,1.229792,0.612009,1.293303,,,1.153846,,,0.911128,1.362957,,0.40352164,0.78136464,,,1.26925899,,,0.88393226,1.11524164,,,0.47501033,1.28459314,,,,,,,,,,,,,,,1.4751773,,,,,0.72813239,,,,,,,,,,,
0.363741,1.426097,0.51531,,0.513857,1.408776,0.594688,1.045035,1.212471,1.189376,0.2194,1.258661,,,0.877521,,,1.228529,1.071695,,0.78503302,,,,1.20322817,,,0.67327551,0.66501446,,,0.6897976,1.4291615,,,,,,,,,,,,,,,,,,,,0.80851064,,,,,,,,,,,
0.698614,1.547344,0.631068,,0.756351,1.98037,1.986143,1.379908,0.323326,,0.150115,0.669746,,,1.071695,,,,1.127707,,0.74468085,,,,1.22523844,,,1.007848,0.68153656,,,0.91284593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.612397,2.078522,0.657207,,1.108545,1.426097,1.472286,1.553118,0.433025,,1.322171,0.854503,,,1.064227,,,,,,1.15553925,,,,1.5590609,,,0.95415118,0.32218092,,,0.49979347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.735624,1.709007,0.40702,,1.385681,1.968822,2.003464,,1.189376,,0.057737,0.433025,,,,,,,,,0.97212032,,,,1.66544387,,,,1.08632796,,,0.80958282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.183719,1.662818,0.45183,,0.80254,1.166282,2.286374,,1.466513,,,1.137413,,,,,,,,,,,,,1.75715334,,,,,,,0.47914085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75056,1.489607,0.608663,,,1.310624,,,,,,0.964203,,,,,,,,,,,,,1.07116654,,,,,,,0.57414292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.224795,1.82448,0.843913,,,,,,,,,,,,,,,,,,,,,,1.42333089,,,,,,,0.52457662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
