LipidIon,Class,FattyAcid,FA1,FA2,FA3,FA4,CalcMz,IonFormula,GroupArea[c],GroupHeight[c],GroupTopPos[c],ASH10,ASH14,ASH18,ASH2,ASH22,ASH6,EV1,EV13,EV17,EV21,EV5,EV9,P-A11,P-A15,P-A19,P-A23,P-A3,P-A7,PRX12,PRX16,PRX20,PRX24,PRX4,PRX8,QC_MSMS,blank,,Filename,dLPC-,dLPE-,dPI-,dPS-,dPG-,dCer-,dPC-,dPE-
CL(17:1/20:3/20:3/20:3)-H,CL,(17:1/20:3/20:3/20:3),(17:1),(20:3),(20:3),(20:3),1514.011905,C86 H147 O17 P2,821140.869,46367.29511,21.652,1136993.576,24609.1626,611229.553,6404.8842,2289.906,1399139.243,10671.726,2113741.672,1488194.846,1301548.558,1696500.548,542437.912,393852.291,1159325.546,861809.307,811543.551,11191.8495,1184334.482,1061066.718,711665.62,7224.9858,4503.1431,2429266.641,957653.297,988235.723,0,,EV17,1.40E+08,1.71E+08,1.29E+08,2.70E+08,3.17E+08,3.60E+08,1.87E+08,2.45E+08
CL(19:1/20:4/18:2/20:4)-H,CL,(19:1/20:4/18:2/20:4),(19:1),(20:4),(18:2),(20:4),1511.996255,C86 H145 O17 P2,902325.6199,69268.50675,21.253,8477.3616,2228860.956,47987.6916,25388.7531,7750.3341,3563787.986,1262225.714,1990250.796,4565.1729,1241656.274,17673.3723,1373649.798,2806.7616,989982.337,619265.821,866926.185,7001.8434,1752073.302,830833.019,995589.035,934636.164,1134598.273,2164487.277,1320412.29,1856453.443,0,,ASH18,1.46E+08,1.80E+08,1.43E+08,2.97E+08,6.32E+08,4.02E+08,2.06E+08,2.67E+08
CL(17:1/20:3/20:4/20:4)-H,CL,(17:1/20:3/20:4/20:4),(17:1),(20:3),(20:4),(20:4),1509.980605,C86 H143 O17 P2,164418.6944,31735.407,20.955,19507.6512,8919.9906,29984.409,18028.1178,57824.2626,61740.0144,5090.3334,26322.678,33693.1752,5558.292,14522.4225,16555.9833,11987.5467,5853.9786,5000.9229,24777.3255,1530020.439,16104.288,13306.4148,12244.696,15684.5754,9067.305,24451.3458,13887.7797,22832.1027,0,,P-A19,1.50E+08,1.84E+08,1.50E+08,3.09E+08,3.71E+08,4.58E+08,2.31E+08,2.99E+08
CL(17:1/20:4/20:4/20:4)-H,CL,(17:1/20:4/20:4/20:4),(17:1),(20:4),(20:4),(20:4),1507.964955,C86 H141 O17 P2,1376072.305,118348.8626,20.631,3362847.356,2091133.437,1653198.868,3251932.592,1408702.577,3274407.06,1214390.709,1866964.904,1289562.217,1054071.983,1344804.058,1542612.095,525845.445,768803.922,455563.259,591680.424,856415.186,985358.229,836416.167,489029.04,815031.778,453780.3,1683329.264,644301.173,1722965.736,0,,PRX20,1.66E+08,2.03E+08,1.57E+08,3.25E+08,3.93E+08,4.75E+08,2.39E+08,3.08E+08
CL(22:6/15:0/20:4/20:4)-H,CL,(22:6/15:0/20:4/20:4),(22:6),(15:0),(20:4),(20:4),1505.949305,C86 H139 O17 P2,228984.4614,35443.58352,20.335,45609.4059,4457.1942,333518.173,1828773.631,10098.7596,20837.2593,22802.3871,10233.0594,8323.9236,27657.3291,311532.223,43105.3587,253922.364,464095.876,9794.0556,22941.8829,401924.442,34956.2508,17622.7002,3299.2722,8830.1574,5550.7467,832100.232,9892.0092,659308.961,0,,EV21,1.67E+08,1.91E+08,1.56E+08,2.97E+08,3.85E+08,4.40E+08,2.34E+08,2.98E+08
CL(20:5/15:1/18:0/24:1)-H,CL,(20:5/15:1/18:0/24:1),(20:5),(15:1),(18:0),(24:1),1520.058855,C86 H153 O17 P2,2011948.823,335858.7835,16.952,19093.842,2521664.866,2753288.894,4199899.072,2432026.918,4228923.941,2732783.024,4835092.946,3630774.193,3725181.728,3210679.163,3677044.813,581326.022,892360.223,781099.232,673182.185,497220.477,706654.195,966210.879,743402.59,1357089.495,929629.423,2693460.71,801561.772,2527163.909,27990.4395,,ASH22,1.64E+08,1.99E+08,1.53E+08,3.10E+08,6.49E+08,4.54E+08,2.28E+08,2.96E+08
CL(18:1/20:3/20:3/20:3)-H,CL,(18:1/20:3/20:3/20:3),(18:1),(20:3),(20:3),(20:3),1528.027555,C87 H149 O17 P2,408542.8989,61917.81507,21.721,1831680.619,1221861.822,11820.951,68136.5037,41970.4869,327190.8222,540415.29,15880.5384,117397.0356,2879.8395,747324.988,894889.812,125069.056,918792.964,343760.594,217614.216,347433.632,38930.3436,210425.478,125803.976,338592.673,13938.3324,23563.5681,13015.239,854076.88,0,,P-A23,1.59E+08,1.98E+08,1.54E+08,3.14E+08,3.82E+08,4.67E+08,2.39E+08,3.12E+08
CL(20:3/20:3/18:1/20:4)-H,CL,(20:3/20:3/18:1/20:4),(20:3),(20:3),(18:1),(20:4),1526.011905,C87 H147 O17 P2,5390058.651,607194.4801,21.389,8808846.306,7769862.884,6611300.397,1.12E+07,6599404.983,1.30E+07,4438637.389,7968755.95,5867915.067,4233488.476,5372471.787,5922448.862,1815562.918,3358445.401,2926859.097,2951672.738,3377281.866,3171505.015,3320068.338,2201562.351,3321315.635,2387765.986,6985742.361,2764739.107,7785867.003,0,,PRX24,1.63E+08,2.01E+08,1.54E+08,3.05E+08,3.85E+08,4.74E+08,2.41E+08,3.11E+08
CL(20:4/20:3/20:3/18:2)-H,CL,(20:4/20:3/20:3/18:2),(20:4),(20:3),(20:3),(18:2),1523.996255,C87 H145 O17 P2,8703881.305,1335367.495,21.101,534211.4991,1.36E+07,1.56E+07,2.53E+07,897535.0134,2.72E+07,1.07E+07,1.54E+07,226077.7632,413490.1692,1.04E+07,1.48E+07,4216941.932,4826884.781,4666616.44,5218719.086,6936510.99,4478657.055,6741500.558,3215274.963,99055.659,4374123.817,1.46E+07,3972822.178,1.56E+07,0,,,,,,,,,,
CL(20:4/20:3/20:4/18:2)-H,CL,(20:4/20:3/20:4/18:2),(20:4),(20:3),(20:4),(18:2),1521.980605,C87 H143 O17 P2,1.28E+07,1684401.109,20.819,2.25E+07,1.81E+07,1.63E+07,2.76E+07,1.57E+07,2.94E+07,1.41E+07,2.26E+07,1.61E+07,1.42E+07,1.58E+07,1.83E+07,3582783.185,7838150.697,4481155.186,4406667.567,5812727.463,6035502.392,5253781.994,3407906.655,6278686.448,5111249.796,1.23E+07,5255445.207,1.76E+07,0,,,,,,,,,,
